Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
4;Robin FRIJNS;Envision Racing;1;T19;28;14:40:50.523;1;yes;no
8;Sam BIRD;NEOM McLaren Formula E Team;1;T19;32;14:48:40.866;1;yes;no
11;Lucas DI GRASSI;LOLA YAMAHA ABT Formula E Team;1;T19;16;14:25:40.794;1;yes;no
17;Norman NATO;Nissan Formula E Team;1;T9;34;14:50:32.385;1;no;no
37;Nick CASSIDY;Jaguar TCS Racing;1;T19;26;14:38:20.595;2;yes;no
37;Nick CASSIDY;Jaguar TCS Racing;2;T19;32;14:48:38.264;2;yes;no
55;Jake HUGHES;Maserati MSG Racing;1;T19;33;14:49:49.663;1;yes;no
