Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
9;Mitch EVANS;Jaguar TCS Racing;1;T2;2;10:00:03.095;1;no;no
33;Dan TICKTUM;Cupra Kiro;1;T2;5;10:11:47.567;1;no;no
