NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
1;1;1;2:32.981;0;;1:23.290;0;30.599;0;39.092;0;70.6;2:32.981;15:39:32.981;1:23.290;0:30.599;0:39.092;;Pascal WEHRLEIN;0:00:52.395;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;2;1:29.031;0;;26.017;0;27.561;0;35.453;0;121.3;4:02.012;15:41:02.012;0:26.017;0:27.561;0:35.453;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;3;1:23.696;0;;23.707;0;25.920;0;34.069;0;129.1;5:25.708;15:42:25.708;0:23.707;0:25.920;0:34.069;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;4;1:17.695;0;;21.915;0;24.199;0;31.581;0;139.1;6:43.403;15:43:43.403;0:21.915;0:24.199;0:31.581;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;5;1:34.429;0;;28.405;0;30.539;0;35.485;0;114.4;8:17.832;15:45:17.832;0:28.405;0:30.539;0:35.485;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;6;1:17.494;2;;21.850;2;24.118;0;31.526;2;139.4;9:35.326;15:46:35.326;0:21.850;0:24.118;0:31.526;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;7;1:49.601;0;;29.429;0;36.695;0;43.477;0;98.6;11:24.927;15:48:24.927;0:29.429;0:36.695;0:43.477;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;8;1:18.869;0;;21.876;0;24.043;2;32.950;0;137.0;12:43.796;15:49:43.796;0:21.876;0:24.043;0:32.950;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
17;1;1;1:53.036;0;;46.225;0;29.872;0;36.939;0;95.6;1:53.036;15:38:53.036;0:46.225;0:29.872;0:36.939;;Norman NATO;0:00:16.492;;B;Nissan Formula E Team;NISSAN;;false;false;
17;1;2;1:26.942;0;;24.702;0;27.169;0;35.071;0;124.3;3:19.978;15:40:19.978;0:24.702;0:27.169;0:35.071;;Norman NATO;;;B;Nissan Formula E Team;NISSAN;;false;false;
