NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
1;1;1;1:36.813;0;;32.483;0;28.514;0;35.816;0;111.6;1:36.813;20:08:05.891;0:32.483;0:28.514;0:35.816;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;2;1:26.607;0;;23.882;0;26.286;0;36.439;0;124.7;3:03.420;20:09:32.498;0:23.882;0:26.286;0:36.439;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;3;1:27.595;0;;23.494;0;26.575;0;37.526;0;123.3;4:31.015;20:11:00.093;0:23.494;0:26.575;0:37.526;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;4;1:27.014;0;;23.376;0;27.462;0;36.176;0;124.2;5:58.029;20:12:27.107;0:23.376;0:27.462;0:36.176;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;5;1:25.365;0;;23.498;0;26.728;0;35.139;0;126.6;7:23.394;20:13:52.472;0:23.498;0:26.728;0:35.139;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;true;
1;1;6;1:22.842;0;;22.719;0;25.295;0;34.828;0;130.4;8:46.236;20:15:15.314;0:22.719;0:25.295;0:34.828;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;true;
1;1;7;1:22.610;0;;22.684;0;26.298;0;33.628;0;130.8;10:08.846;20:16:37.924;0:22.684;0:26.298;0:33.628;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;true;
1;1;8;1:22.741;0;;22.841;0;25.607;0;34.293;0;130.6;11:31.587;20:18:00.665;0:22.841;0:25.607;0:34.293;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;true;
1;1;9;1:24.068;0;;23.792;0;26.147;0;34.129;0;128.5;12:55.655;20:19:24.733;0:23.792;0:26.147;0:34.129;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;10;1:24.426;0;;24.154;0;26.041;0;34.231;0;128.0;14:20.081;20:20:49.159;0:24.154;0:26.041;0:34.231;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
