Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
7;Maximilian GÜNTHER;DS PENSKE;1;T15;1;20:26:12.347;1;no;no
11;Lucas DI GRASSI;LOLA YAMAHA ABT Formula E Team;1;T5;25;20:40:26.729;1;no;no
55;Jake HUGHES;Maserati MSG Racing;1;T2;30;20:46:43.514;1;no;no
