NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
1;1;1;1:55.312;0;;45.179;0;31.010;0;39.123;0;93.7;1:55.312;15:21:55.312;0:45.179;0:31.010;0:39.123;;Pascal WEHRLEIN;0:00:13.290;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;2;1:31.727;0;;25.998;0;28.142;0;37.587;0;117.8;3:27.039;15:23:27.039;0:25.998;0:28.142;0:37.587;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;3;1:29.370;0;;24.926;0;27.941;0;36.503;0;120.9;4:56.409;15:24:56.409;0:24.926;0:27.941;0:36.503;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;4;1:24.849;0;;23.831;0;25.867;0;35.151;0;127.3;6:21.258;15:26:21.258;0:23.831;0:25.867;0:35.151;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;5;1:19.273;0;;21.850;0;24.040;0;33.383;0;136.3;7:40.531;15:27:40.531;0:21.850;0:24.040;0:33.383;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;6;1:42.225;0;;29.596;0;35.590;0;37.039;0;105.7;9:22.756;15:29:22.756;0:29.596;0:35.590;0:37.039;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;7;1:17.298;2;;21.779;2;23.913;2;31.606;2;139.8;10:40.054;15:30:40.054;0:21.779;0:23.913;0:31.606;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;8;1:17.388;0;;21.834;0;23.922;0;31.632;0;139.6;11:57.442;15:31:57.442;0:21.834;0:23.922;0:31.632;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
2;1;1;2:36.723;0;;1:28.350;0;30.873;0;37.500;0;68.9;2:36.723;15:22:36.723;1:28.350;0:30.873;0:37.500;;Stoffel VANDOORNE;0:00:59.759;;A;Maserati MSG Racing;STELLANTIS;;false;false;
2;1;2;1:25.967;0;;24.539;0;26.913;0;34.515;0;125.7;4:02.690;15:24:02.690;0:24.539;0:26.913;0:34.515;;Stoffel VANDOORNE;;;A;Maserati MSG Racing;STELLANTIS;;false;false;
2;1;3;1:23.707;0;;23.563;0;25.813;0;34.331;0;129.1;5:26.397;15:25:26.397;0:23.563;0:25.813;0:34.331;;Stoffel VANDOORNE;;;A;Maserati MSG Racing;STELLANTIS;;false;false;
2;1;4;1:26.887;0;;23.218;0;28.517;0;35.152;0;124.3;6:53.284;15:26:53.284;0:23.218;0:28.517;0:35.152;;Stoffel VANDOORNE;;;A;Maserati MSG Racing;STELLANTIS;;false;false;
2;1;5;1:17.020;3;;21.616;3;23.947;2;31.457;0;140.3;8:10.304;15:28:10.304;0:21.616;0:23.947;0:31.457;;Stoffel VANDOORNE;;;A;Maserati MSG Racing;STELLANTIS;;false;false;
2;1;6;1:37.163;0;;24.217;0;32.070;0;40.876;0;111.2;9:47.467;15:29:47.467;0:24.217;0:32.070;0:40.876;;Stoffel VANDOORNE;;;A;Maserati MSG Racing;STELLANTIS;;false;false;
2;1;7;1:33.079;0;;27.443;0;29.635;0;36.001;0;116.1;11:20.546;15:31:20.546;0:27.443;0:29.635;0:36.001;;Stoffel VANDOORNE;;;A;Maserati MSG Racing;STELLANTIS;;false;false;
2;1;8;1:17.182;0;;21.632;0;24.147;0;31.403;2;140.0;12:37.728;15:32:37.728;0:21.632;0:24.147;0:31.403;;Stoffel VANDOORNE;;;A;Maserati MSG Racing;STELLANTIS;;false;false;
22;1;1;2:22.867;0;;1:17.637;0;28.597;0;36.633;0;75.6;2:22.867;15:22:22.867;1:17.637;0:28.597;0:36.633;;Zane MALONEY;0:00:49.790;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
22;1;2;1:34.677;0;;23.891;0;27.799;0;42.987;0;114.1;3:57.544;15:23:57.544;0:23.891;0:27.799;0:42.987;;Zane MALONEY;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
22;1;3;1:27.532;0;;23.315;0;28.203;0;36.014;0;123.4;5:25.076;15:25:25.076;0:23.315;0:28.203;0:36.014;;Zane MALONEY;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
